AD_ID,PRODUCT_ID,ADS_DESCRIPTION,DISCOUNT_RATE,ADS_START_DATE,ADS_END_DATE
5001030,3000832,The Art of Baking Sale! Discounts on stand mixers and cake decorating tools.,0.16,2/2/2024,2/8/2024
5000873,3000031,Capture Memories! Save on instant cameras and portable printers.,0.25,11/29/2023,11/30/2023
5000740,3000647,The Gift of Fitness! Discounts on fitness trackers and smartwatches (perfect for gifts).,0.21,3/3/2023,3/24/2023
5000538,3000820,Bakeware Bonanza! Save on nesting bakeware sets and baking sheets.,0.43,1/12/2024,1/13/2024
5000501,3000291,Work From Home Wins! Discounts on ergonomic chairs and wireless keyboards.,0.24,11/9/2023,11/15/2023
5000896,3000741,The Art of Fermentation! Save on yogurt makers and kombucha brewing kits.,0.23,9/12/2023,9/24/2023
5001052,3000846,Capture the Stars! Discounts on telescopes and stargazing apps.,0.32,1/20/2024,2/2/2024
5000508,3000710,Capture the Stars! Discounts on telescopes and stargazing apps.,0.15,12/14/2023,1/1/2024
5000269,3000110,Summer Sipping Sale! Discounts on blenders and smoothie makers.,0.23,8/7/2023,8/18/2023
5000283,3000204,Capture Memories! Save on instant cameras and portable printers.,0.13,2/17/2024,3/10/2024
5000483,3000894,The Art of Sushi at Home! Save on sushi-making kits and rice cookers.,0.36,3/9/2023,3/30/2023
5000890,3000582,Spice Up Your Kitchen! Discounts on herb garden kits and spice racks.,0.15,1/3/2024,1/21/2024
5000100,3000965,Healthy Snack Station! Save on air fryers and dehydrators.,0.14,7/23/2023,8/17/2023
5000736,3000197,Upgrade Essentials! Save big on smartwatches and fitness trackers.,0.2,8/21/2023,9/14/2023
5000181,3000629,The Productivity Boost! Save on noise-canceling headphones and wireless keyboards (ergonomic).,0.11,12/28/2023,1/1/2024
5000083,3000659,Spice Up Your Kitchen! Discounts on herb garden kits and spice racks.,0.26,4/23/2023,5/17/2023
5000406,3000316,The Power of Music! Discounts on wireless speakers and portable chargers (high capacity).,0.45,12/2/2023,1/1/2024
5000421,3000176,Clean & Green Sale! Discounts on air purifiers and sustainable food storage.,0.48,5/8/2023,5/27/2023
5000974,3000002,Portable Power Perks! Save on portable speakers and power banks.,0.44,1/13/2024,1/19/2024
5000939,3000668,Light Up Your Life! Discounts on smart lighting kits and decorative lamps.,0.18,6/21/2023,7/8/2023
5000569,3000460,Level Up Your Gaming! Discounts on VR headsets and gaming controllers.,0.37,5/16/2023,5/21/2023
5000325,3000220,Breakfast Bonanza! Save on waffle makers and breakfast sandwich makers.,0.32,10/8/2023,10/14/2023
5000843,3000160,Soup's On Sale! Discounts on immersion blenders and slow cookers.,0.36,7/7/2023,7/25/2023
5000077,3000162,Home Theater Upgrade! Huge discounts on projectors and screens.,0.39,2/15/2024,3/8/2024
5000533,3000660,Read Anywhere! Save on e-readers and audiobooks.,0.47,3/11/2023,4/9/2023
5000866,3000516,Movie Marathon Must-Haves! Save on streaming devices and popcorn makers.,0.14,6/20/2023,7/8/2023
5000423,3000943,Crystal Clear Sound! Save on noise-canceling headphones and soundbars.,0.28,2/5/2024,2/19/2024
5000241,3000461,Get Creative! Save on digital cameras and editing software.,0.16,3/26/2023,4/19/2023
5000372,3000350,Back to Basics Sale! Extra savings on timeless wardrobe staples.,0.44,6/28/2023,7/25/2023
5000606,3000857,Kitchen Gadget Giveaway! Enter to win a food processor or blender.,0.31,4/5/2023,5/3/2023
5000965,3000336,Upgrade Essentials! Save big on smartwatches and fitness trackers.,0.33,8/19/2023,8/23/2023
5000503,3000612,Summer Sipping Sale! Discounts on blenders and smoothie makers.,0.42,5/3/2023,5/27/2023
