PRODUCT_ID,PRODUCT_CATEGORY_ID,SUPPLIER_ID,PRODUCT_NAME,PRODUCT_DESCRIPTION,PRODUCT_PRICE,PRODUCT_QTY_AVAILABLE
3000815,26,2000652,"Corsair RM850x (850W, 80 Plus Gold)","Capture breathtaking aerial footage and explore further with this advanced drone. Featuring longer range, obstacle avoidance, and professional-grade camera capabilities.",32,9
3000169,35,2000137,Burr Coffee Grinder,"Achieve restaurant-quality results at home with this sous vide precision cooker. Perfect for cooking meat, fish, and vegetables to a perfect temperature.",49,18
3000738,24,2000897,AMD Radeon RX 5700 XT,Mount your phone securely and charge it wirelessly with this convenient car charger. Enjoy hands-free navigation and music streaming on the go.,94,53
3000986,27,2000287,NZXT H510 - Compact ATX Mid-Tower,Charge your phone wirelessly with this sleek and convenient charging pad.  Simply place your phone down and power up.,98,63
3000436,13,2000320,Nomad Jeans,Soft and comfortable sweatpants with a relaxed fit. Perfect for lounging at home or running errands in style.,100,44
3000496,22,2000544,Apple iPhone 13 Pro Max,"High-definition projector for an incredible home theater experience. Enjoy movies, games, and presentations in stunning clarity.",83,64
3000554,29,2000544,Apple iPad Pro 12.9 (2021),"Capture life's moments in an instant with this portable, retro-inspired camera. Prints on-the-go for instant memories.",83,26
3000460,22,2000594,Samsung Galaxy S21 Ultra,Capture life's moments in an instant with this point-and-shoot digital camera. Easy to use and perfect for capturing memories on the go.,69,92
3000950,13,2000659,Summit Joggers,Waterproof and breathable rain jacket for all-weather adventures. Packs down small for easy carrying and keeps you dry in any storm.,63,43
3000876,39,2000002,Teaspoon,"Powerful blender that pulverizes ingredients for smoothies, soups, and more. Perfect for creating healthy and delicious meals.",20,37
3000583,22,2000248,Google Pixel 6 Pro,Mount your phone securely and charge it wirelessly with this convenient car charger. Enjoy hands-free navigation and music streaming on the go.,3,18
3000743,35,2000652,Blade Coffee Grinder,Grow fresh herbs vertically with this innovative wall-mounted herb garden kit. Maximize space and enjoy fresh flavors all year round.,7,43
3000285,37,2000398,Soup Bowl,Grow fresh herbs vertically with this innovative wall-mounted herb garden kit. Maximize space and enjoy fresh flavors all year round.,38,46
3000514,12,2000320,"Breezy Tee,",Water-resistant cargo pants with built-in phone pocket and hidden tech compartments. Stay stylish and organized.,34,75
3000561,38,2000161,tchenAid Artisan Series 5-Quart Tilt-Head Stand Mixer,"Advanced spiralizer with interchangeable blades for endless possibilities. Create veggie noodles, ribbons, and more.",35,74
3000659,31,2000280,Smart Kettle with Temperature Control,"Create healthy and fun veggie noodles with this easy-to-use spiralizer. Perfect for zucchini noodles, sweet potato fries, and more.",55,93
3000123,35,2000520,Spice Grinder,"Track your weight, body fat, and muscle mass with this smart scale and its accompanying app. Stay motivated and reach your health goals.",45,22
3000207,31,2000161,Bloom XL Herb Garden Kit,Keep your knives razor-sharp with this easy-to-use electric knife sharpener. Ensures effortless chopping and slicing for every meal.,13,27
3000047,28,2000120,Apple MacBook Pro 16-inch (M1 Pro),Explore the world from above with this easy-to-fly drone. Capture stunning aerial photos and videos.,6,53
3000442,31,2000455,Stack & Store Lunch Box Set,Grow fresh herbs vertically with this innovative wall-mounted herb garden kit. Maximize space and enjoy fresh flavors all year round.,37,20
3000941,14,2000633,Horizon Hat,"Effortless one-piece outfit with multiple pockets for ultimate functionality. Perfect for work, errands, or travel.",80,18
3000834,36,2000856,Wine Glass,"Grow a lush indoor vertical garden with this innovative kit. Maximize space and enjoy fresh herbs, vegetables, or flowers year-round.",24,54
3000551,26,2000594,"EVGA SuperNOVA 750 G3 (750W, 80 Plus Gold)",Charge your phone wirelessly with this sleek and convenient charging pad.  Simply place your phone down and power up.,49,91
3000764,22,2000002,OnePlus 9 Pro,"Capture life's moments in an instant with this portable, retro-inspired camera. Prints on-the-go for instant memories.",21,52
3000550,24,2000057,NVIDIA GeForce GTX 1660 Super,"Capture and print photos instantly with this easy-to-use digital camera. Fun for parties, events, or everyday memories.",22,32
3000610,38,2000079,Cuisinart SM-50BC 5.5-Quart Stand Mixer,The ultimate kitchen companion for spiralizing enthusiasts.  Professional-grade blades handle even the toughest vegetables with ease.,91,73
3000884,38,2000398,Breville BEM800XL Scraper Mixer Pro,"Boil water to the perfect temperature with this smart kettle.  Control temperature from your phone for precise brewing of tea, coffee, or baby formula.",34,21
3000934,36,2000952,Champagne Flute,Stylish and leak-proof glass food containers for storing food or meal prep. Safe for reheating in the,98,26
